Adoption ID,Date,Quantity,Book ID,Title,ISBN-10,ISBN-13,Category,University ID
1,7/12/2015,545,489,Statistics for Business and Economics,032182623X,9780321826237,Statistics,188429
2,12/18/2015,138,603,Intro Stats,0321825276,9780321825278,Statistics,188429
3,4/25/2015,158,480,Fundamentals of Statistics,032183870X,9780321838704,Statistics,188429
4,6/21/2015,362,550,Literature for Composition,0321829174,9780321829177,English,188429
5,11/21/2015,116,896,Psychology of Investing,0132994895,9780132994897,Business,188429
6,6/12/2015,612,693,"Network Security Essentials: Applications and Standards, 5/e",0133370437,9780133370430,Computer Science,188429
7,11/6/2015,282,943,Modern Systems Analysis and Design,0132991306,9780132991308,Business,188429
1,5/13/2015,476,587,Algebra and Trigonometry,032183724X,9780321837240,Mathematics,141334
2,1/30/2016,59,942,Employment Law,0133075222,9780133075229,Business,141334
3,12/23/2015,68,686,Ownership Series: Ownership: Study Strategies,0132869063,9780132869065,Student Success,141334
4,2/18/2016,314,626,Elementary & Intermediate Algebra,0321880110,9780321880116,Mathematics,141334
5,2/9/2016,111,599,Analysis with an Introduction to Proof,032174747X,9780321747471,Mathematics,141334
6,1/9/2016,251,944,Principles of Operations Management,0132968363,9780132968362,Business,141334
7,3/23/2015,213,928,Human Resource Management,0133043541,9780133043549,Business,141334
8,12/24/2015,356,625,"Career Tool Kit, The: Skills for Success",0132180537,9780132180535,Student Success,141334
9,6/6/2015,639,477,Starting Out With Visual Basic,0133128083,9780133128086,Computer Science,141334
10,2/20/2016,527,972,Making the Team,0136090036,9780136090038,Business,141334
11,7/2/2015,108,946,Auditing and Assurance Services,0133125637,9780133125634,Business,141334
12,4/9/2015,687,549,Complete Works of Shakespeare 7E,0321886518,9780321886514,English,141334
13,6/27/2015,231,586,College Algebra: An Early Functions Approach,0321729641,9780321729644,Mathematics,141334
14,12/31/2015,282,895,Intercultural Business Communication,0132971275,9780132971270,Business,141334
15,3/16/2015,246,583,John E. Freund's Mathematical Statistics with Applications,032180709X,9780321807090,Statistics,141334
1,3/25/2015,494,955,Horngren's Financial & Managerial Accounting,0133251241,9780133251241,Business,190044
2,2/5/2016,362,643,Engineering Vibration,0132871696,9780132871693,Engineering,190044
3,7/5/2015,167,603,Intro Stats,0321825276,9780321825278,Statistics,190044
4,2/23/2016,202,688,"Essentials of Processes, Systems and Information: with SAP tutorials",013340675X,9780133406757,Business,190044
1,7/5/2015,412,951,Corporate Finance,0132992477,9780132992473,Business,483586
2,3/7/2015,144,698,Global Marketing Management,0136157394,9780136157397,Business,483586
3,7/26/2015,640,784,Mechanics of Materials,0133254429,9780133254426,Engineering,483586
4,1/17/2016,451,904,International Business,0133063003,9780133063004,Business,483586
