Book ID,Title,Category,University ID
489,Statistics for Business and Economics,Statistics,188429
603,Intro Stats,Statistics,188429
480,Fundamentals of Statistics,Statistics,188429
550,Literature for Composition,English,188429
896,Psychology of Investing,Business,188429
693,"Network Security Essentials: Applications and Standards, 5/e",Computer Science,188429
943,Modern Systems Analysis and Design,Business,188429
587,Algebra and Trigonometry,Mathematics,141334
942,Employment Law,Business,141334
686,Ownership Series: Ownership: Study Strategies,Student Success,141334
626,Elementary & Intermediate Algebra,Mathematics,141334
599,Analysis with an Introduction to Proof,Mathematics,141334
944,Principles of Operations Management,Business,141334
928,Human Resource Management,Business,141334
625,"Career Tool Kit, The: Skills for Success",Student Success,141334
477,Starting Out With Visual Basic,Computer Science,141334
972,Making the Team,Business,141334
946,Auditing and Assurance Services,Business,141334
549,Complete Works of Shakespeare 7E,English,141334
586,College Algebra: An Early Functions Approach,Mathematics,141334
895,Intercultural Business Communication,Business,141334
583,John E. Freund's Mathematical Statistics with Applications,Statistics,141334
955,Horngren's Financial & Managerial Accounting,Business,190044
643,Engineering Vibration,Engineering,190044
603,Intro Stats,Statistics,190044
688,"Essentials of Processes, Systems and Information: with SAP tutorials",Business,190044
951,Corporate Finance,Business,483586
698,Global Marketing Management,Business,483586
784,Mechanics of Materials,Engineering,483586
904,International Business,Business,483586
787,Visual Basic 2012 How to Program,Computer Science,483586
952,"Corporate Finance, The Core",Business,483586
478,Starting out with Visual C# 2012 (with CD-Rom),Computer Science,483586
984,E-Commerce 2013,Business,483586
599,Analysis with an Introduction to Proof,Mathematics,483586
932,Foundations of Finance,Business,483586
594,Elementary Algebra:  Concepts & Applications,Mathematics,483586
652,"Career Adventure: Your Guide to Personal Assessment, Career Exploration, and Decision Making",Student Success,483586
639,An Introduction to Programming Using Visual Basic 2012(w/Visual Studio 2012 Express Edition DVD),Computer Science,483586
911,Economics,Economics,483586
957,Principles of Risk Management and Insurance,Business,483586
792,Managing Engineering and Technology,Engineering,483586
622,"Prealgebra and Introductory Algebra, 4e",Mathematics,483586
698,Global Marketing Management,Business,483586
549,Complete Works of Shakespeare 7E,English,483586
598,Introductory & Intermediate Algebra 3e,Mathematics,483586
790,Data Structures and Algorithm Analysis in C++,Computer Science,483586
593,Prealgebra  5e,Mathematics,483586
480,Fundamentals of Statistics,Statistics,483586
611,"Cornerstones for Community College Success, 2/E",Student Success,483586
969,Economics for Managers,Economics,483586
612,Precalculus with Modeling & Visualization,Mathematics,483586
598,Introductory & Intermediate Algebra 3e,Mathematics,483586
490,Essential Statistics,Statistics,483586
974,The Economics of Macro Issues,Economics,483586
948,"Integrated Advertising, Promotion, and Marketing Communications",Business,483586
