Message ID,Date,Content,Category,University ID
1,3/4/2016,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend.,Help,188429
2,7/7/2015,"Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.",Response,188429
3,9/12/2015,"Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.",Response,188429
4,6/14/2015,"Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien.",Query,188429
1,4/12/2015,"Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat.",Response,141334
2,9/29/2015,Duis at velit eu est congue elementum.,Help,141334
3,2/13/2016,"Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo.",Query,141334
4,5/2/2015,Morbi non lectus.,Order,141334
5,1/1/2016,Sed ante. Vivamus tortor. Duis mattis egestas metus.,Order,141334
6,6/6/2015,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.",Help,141334
7,12/6/2015,Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla.,Response,141334
8,3/30/2015,"Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio. Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo.",Order,141334
9,1/12/2016,Nulla mollis molestie lorem. Quisque ut erat.,Order,141334
10,2/8/2016,"Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa.",Help,141334
11,3/2/2016,Nulla justo. Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis. Sed ante.,Response,141334
12,12/13/2015,Phasellus in felis.,Response,141334
